model,model_key,model_category,sample_size,prediction_type,nMSE_mean,nMSE_std,nRMSE_mean,nRMSE_std,nMAE_mean,nMAE_std,macro_R2_mean,macro_R2_std,fold_count
PLS,pls_regressor,Interpretable models,2400,raw,0.5359702401945442,0.0507540267795479,0.7314760452741538,0.0337830464994722,0.5357673415348183,0.0113689873612389,0.4697913223207129,0.0035432044963297,5
PLS,pls_regressor,Interpretable models,3350,raw,0.5323806411423719,0.0402296359860965,0.7292425352519335,0.0270639502314537,0.5351711192667093,0.0101994857180985,0.4711801105141677,0.0041793959217267,5
PLS,pls_regressor,Interpretable models,4300,raw,0.5261348080575251,0.0168106739133176,0.7252784366696423,0.0115107210658574,0.5305098135133737,0.005954207780471,0.4750705492207025,0.004036081644118,5
PLS,pls_regressor,Interpretable models,5250,raw,0.5264956578686777,0.0139410631220463,0.7255498836869851,0.0095540665739774,0.53030024975755,0.0047577253224564,0.4746194271453147,0.0030988814475078,5
PLS,pls_regressor,Interpretable models,6200,raw,0.5251077110429223,0.0169571226521404,0.7245688812020992,0.0115999696368544,0.5282302905347015,0.0059404933450405,0.4761647562640255,0.0027865523675911,5
PLS,pls_regressor,Interpretable models,7150,raw,0.5228984096442233,0.0118012338817677,0.7230807353342174,0.0081132478662,0.5258658780238117,0.0068943873812313,0.4781550021272379,0.002121819169633,5
PLS,pls_regressor,Interpretable models,8100,raw,0.5203656032254038,0.0069970504800724,0.7213506995716791,0.004843997942434,0.5244932344801129,0.0055666092711511,0.4802987287960115,0.002011679932034,5
PLS,pls_regressor,Interpretable models,9050,raw,0.5198255252505951,0.0056435255090232,0.720980745500859,0.0039194814103143,0.5224498015923459,0.0034970838409873,0.480374018140804,0.0012063030770856,5
PLS,pls_regressor,Interpretable models,10000,raw,0.5200721513375317,0.0084079314550368,0.7211414676567844,0.0058239766644776,0.5220530108088655,0.0029560490801546,0.4801450620114827,0.0020698813321322,5
Multi-task Elastic Net,multitask_elastic_net_regressor,Interpretable models,500,raw,0.305488981677994,0.045927169467395,0.5515032179087024,0.0408225169842009,0.3484980643825952,0.016991090400576,0.6978282516299277,0.0186185838654704,5
Multi-task Elastic Net,multitask_elastic_net_regressor,Interpretable models,1450,raw,0.2946920328043423,0.0308762023354478,0.5422566478028676,0.0284991385382766,0.3415501518980382,0.0059867444097,0.7094339687640714,0.0124625003165647,5
Multi-task Elastic Net,multitask_elastic_net_regressor,Interpretable models,2400,raw,0.2938183556735653,0.0430077574343997,0.540967332794268,0.0382867555921923,0.3397486216430146,0.0072930358340793,0.7136164606378623,0.0075692629593406,5
Multi-task Elastic Net,multitask_elastic_net_regressor,Interpretable models,3350,raw,0.2902745656766533,0.0323209212814059,0.5381362460269489,0.029239237094111,0.3395789005911295,0.0057381346801693,0.7141545637031456,0.0048001595241846,5
Multi-task Elastic Net,multitask_elastic_net_regressor,Interpretable models,4300,raw,0.2895751461517073,0.01340514022925,0.5380078680200375,0.0123834617656571,0.3385721653248462,0.0046974037852366,0.7120060047598947,0.0037350651645214,5
Multi-task Elastic Net,multitask_elastic_net_regressor,Interpretable models,5250,raw,0.2889553723044095,0.0117638769003226,0.5374558399531989,0.0109881984767138,0.3389018275783738,0.0047716330948032,0.7123612381152817,0.0030838105788917,5
Multi-task Elastic Net,multitask_elastic_net_regressor,Interpretable models,6200,raw,0.2898515444185712,0.0112028722291619,0.5382992592658831,0.0103351277430931,0.3390946480923064,0.0053099884177225,0.7116020803705453,0.0023094278931373,5
Multi-task Elastic Net,multitask_elastic_net_regressor,Interpretable models,7150,raw,0.2884317491450238,0.007147301256024,0.5370255253686628,0.0066458866541281,0.3391064555310593,0.004237742909092,0.7126925479503494,0.0022313089063635,5
Multi-task Elastic Net,multitask_elastic_net_regressor,Interpretable models,8100,raw,0.2883028904348821,0.0048340543700617,0.5369232290218557,0.0045189284717153,0.3391649917176401,0.0044340282293649,0.7123527658852955,0.0025876791859508,5
Multi-task Elastic Net,multitask_elastic_net_regressor,Interpretable models,9050,raw,0.2875939299899535,0.0060861782704447,0.5362538550933664,0.0056715173737073,0.3383312908607452,0.003897256683107,0.7126272514206693,0.0025144025868759,5
Multi-task Elastic Net,multitask_elastic_net_regressor,Interpretable models,10000,raw,0.2874630328341832,0.008489919161989,0.5361093457040409,0.0078900477635022,0.3382284634453938,0.0046351800926567,0.7128642807617973,0.0028458503780505,5
Multi-task Lasso,multitask_lasso_regressor,Interpretable models,500,raw,0.3054723272372834,0.0459512936018815,0.5514868090335903,0.0408446247875991,0.3484875830539039,0.0170068375258838,0.6978460485696394,0.0185979355794542,5
Multi-task Lasso,multitask_lasso_regressor,Interpretable models,1450,raw,0.2946854805365823,0.0308684029413504,0.5422508805077356,0.0284926114362945,0.3415444582221931,0.0059897238253133,0.7094397102793317,0.0124573922038469,5
Multi-task Lasso,multitask_lasso_regressor,Interpretable models,2400,raw,0.293814060633065,0.0430091531685951,0.5409632833635969,0.0382881620991043,0.3397446100898517,0.0072950769345367,0.7136202386111732,0.0075702137098379,5
Multi-task Lasso,multitask_lasso_regressor,Interpretable models,3350,raw,0.2902730863187509,0.0323206795352748,0.5381348782210781,0.0292390825936859,0.339575789187112,0.0057377536947039,0.7141557712154596,0.0048021436150509,5
Multi-task Lasso,multitask_lasso_regressor,Interpretable models,4300,raw,0.2895734326063574,0.013405441199671,0.5380062705730649,0.012383730779707,0.3385691198824391,0.0046966819483527,0.7120077691081447,0.0037335166868665,5
Multi-task Lasso,multitask_lasso_regressor,Interpretable models,5250,raw,0.2889533303224061,0.0117648377742779,0.5374539248777845,0.0109891398589008,0.3388987343966794,0.0047712636086013,0.712363212058618,0.0030835100270621,5
Multi-task Lasso,multitask_lasso_regressor,Interpretable models,6200,raw,0.2898485338789845,0.011203074837232,0.5382964596630264,0.0103353394499287,0.3390910515401029,0.0053085831383618,0.7116049402319891,0.0023073317998676,5
Multi-task Lasso,multitask_lasso_regressor,Interpretable models,7150,raw,0.2884283605755199,0.0071468673136892,0.5370223742759433,0.0066454968351199,0.3391026423389628,0.0042363712888692,0.7126959264102335,0.0022268792460606,5
Multi-task Lasso,multitask_lasso_regressor,Interpretable models,8100,raw,0.2883001158674305,0.0048337860584214,0.5369206469089912,0.0045186820895194,0.3391613227623882,0.0044326121714968,0.7123555516740159,0.0025857365165317,5
Multi-task Lasso,multitask_lasso_regressor,Interpretable models,9050,raw,0.2875912878817949,0.0060887155654896,0.5362513711330058,0.0056739359978427,0.3383278920217758,0.0038961987720389,0.7126299907916961,0.0025126083513853,5
Multi-task Lasso,multitask_lasso_regressor,Interpretable models,10000,raw,0.2874606759208046,0.0084912621072531,0.5361071320453383,0.0078913632319459,0.3382251738620369,0.0046336626796682,0.7128667089995713,0.0028438105225736,5
MLP,ann_deep_regressor,Neural networks,500,raw,0.2766464502557652,0.0459957589177113,0.5244443383828333,0.0447854076954406,0.3495688002298403,0.0202312821876171,0.7180676734022539,0.036151346738568,5
MLP,ann_deep_regressor,Neural networks,1450,raw,0.1229053258119128,0.0334866439085288,0.3480518924626031,0.0469734760944055,0.2048962043328697,0.0058688276664116,0.879974819883274,0.0125735589540643,5
MLP,ann_deep_regressor,Neural networks,2400,raw,0.075046829247826,0.0373941911125185,0.2683915975607752,0.061367536273271,0.1439601367177688,0.0110548481548645,0.9317866019942012,0.0055781662590987,5
